Stock,Strike,log price,time to maturity,bid_imp_vol,ask_imp_vol
4544.90,4250.00,-0.0670867,0.09920635,0.16989,0.17302
4544.90,4350.00,-0.0438299,0.09920635,0.15289,0.15530
4544.90,4450.00,-0.0211016,0.09920635,0.13151,0.13332
4544.90,4550.00,0.0011215,0.09920635,0.10906,0.11011
4544.90,4650.00,0.0228615,0.09920635,0.09170,0.09265
4544.90,4750.00,0.0441389,0.09920635,0.08415,0.08582
4544.90,4250.00,-0.0670867,0.15873016,0.17679,0.17814
4544.90,4350.00,-0.0438299,0.15873016,0.16064,0.16189
4544.90,4450.00,-0.0211016,0.15873016,0.14257,0.14347
4544.90,4550.00,0.0011215,0.15873016,0.12457,0.12540
4544.90,4650.00,0.0228615,0.15873016,0.10982,0.11060
4544.90,4750.00,0.0441389,0.15873016,0.10073,0.10148
4544.90,4250.00,-0.0670867,0.25793651,0.18518,0.18662
4544.90,4350.00,-0.0438299,0.25793651,0.17013,0.17140
4544.90,4450.00,-0.0211016,0.25793651,0.15421,0.15523
4544.90,4550.00,0.0011215,0.25793651,0.13845,0.13931
4544.90,4650.00,0.0228615,0.25793651,0.12439,0.12519
4544.90,4750.00,0.0441389,0.25793651,0.11381,0.11453
4544.90,4250.00,-0.0670867,0.48412698,0.19209,0.19404
4544.90,4350.00,-0.0438299,0.48412698,0.18047,0.18219
4544.90,4450.00,-0.0211016,0.48412698,0.16852,0.16999
4544.90,4550.00,0.0011215,0.48412698,0.15697,0.15784
4544.90,4650.00,0.0228615,0.48412698,0.14537,0.14625
4544.90,4750.00,0.0441389,0.48412698,0.13517,0.13604
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
